Entry,Entry name,Protein names,Length,Mass,Annotation,Date of creation,Protein existence
Q96K78,AGRG7_HUMAN,Adhesion G-protein coupled receptor G7 (G-protein coupled receptor 128),797,"88,909",4 out of 5,2004-03-29,Evidence at protein level
A9YTQ3,AHRR_HUMAN,Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77),701,"76,265",5 out of 5,2008-05-20,Evidence at protein level
Q9BQI0,AIF1L_HUMAN,Allograft inflammatory factor 1-like (Ionized calcium-binding adapter molecule 2),150,"17,068",5 out of 5,2006-02-07,Evidence at protein level
Q9NVV5,AIG1_HUMAN,Androgen-induced gene 1 protein (AIG-1),245,"28,222",4 out of 5,2004-12-21,Evidence at protein level
Q16352,AINX_HUMAN,Alpha-internexin (Alpha-Inx) (66 kDa neurofilament protein) (NF-66) (Neurofilament-66) (Neurofilament 5),499,"55,391",5 out of 5,2000-05-30,Evidence at protein level
O00170,AIP_HUMAN,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),330,"37,636",5 out of 5,2000-05-30,Evidence at protein level
O60218,AK1BA_HUMAN,Aldo-keto reductase family 1 member B10 (EC 1.1.1.-) (ARL-1) (Aldose reductase-like) (Aldose reductase-related protein) (ARP) (hARP) (Small intestine reductase) (SI reductase),316,"36,020",5 out of 5,2002-05-10,Evidence at protein level
Q9P0M2,AKA7G_HUMAN,A-kinase anchor protein 7 isoform gamma (AKAP-7 isoform gamma) (A-kinase anchor protein 18 kDa) (AKAP 18) (Protein kinase A-anchoring protein 7 isoform gamma) (PRKA7 isoform gamma),348,"39,518",5 out of 5,2002-11-15,Evidence at protein level
Q8N7X0,ADGB_HUMAN,Androglobin (Calpain-7-like protein),1667,"189,713",3 out of 5,2006-04-18,Evidence at transcript level
P00326,ADH1G_HUMAN,Alcohol dehydrogenase 1C (EC 1.1.1.1) (Alcohol dehydrogenase subunit gamma),375,"39,868",5 out of 5,1986-07-21,Evidence at protein level
Q08117,AES_HUMAN,Amino-terminal enhancer of split (Amino enhancer of split) (Gp130-associated protein GAM) (Grg-5) (Groucho-related protein 5) (Protein ESP1) (Protein GRG),197,"21,970",5 out of 5,1995-02-01,Evidence at protein level
P55197,AF10_HUMAN,Protein AF-10 (ALL1-fused gene from chromosome 10 protein),1068,"113,320",5 out of 5,1996-10-01,Evidence at protein level
Q9Y6Z5,AFAS1_HUMAN,Putative uncharacterized protein AFDN-AS1 (AFDN antisense RNA 1) (AFDN antisense gene protein 1) (Protein HGC6.4),254,"26,128",3 out of 5,2008-04-29,Uncertain
P51816,AFF2_HUMAN,AF4/FMR2 family member 2 (Fragile X E mental retardation syndrome protein) (Fragile X mental retardation 2 protein) (FMR2P) (Protein FMR-2) (Protein Ox19),1311,"144,771",5 out of 5,1996-10-01,Evidence at protein level
C9J202,AG1L2_HUMAN,Putative glycosyltransferase ALG1L2 (EC 2.4.1.-),215,"24,154",2 out of 5,2010-05-18,Inferred from homology
Q8TF27,AGA11_HUMAN,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 11 (AGAP-11) (Centaurin-gamma-like protein KIAA1975)",550,"60,549",3 out of 5,2008-04-08,Evidence at transcript level
Q8N302,AGGF1_HUMAN,Angiogenic factor with G patch and FHA domains 1 (Angiogenic factor VG5Q) (hVG5Q) (G patch domain-containing protein 7) (Vasculogenesis gene on 5q protein),714,"80,977",5 out of 5,2004-03-15,Evidence at protein level
Q9UKV8,AGO2_HUMAN,Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer),859,"97,208",5 out of 5,2000-12-01,Evidence at protein level
Q14246,AGRE1_HUMAN,Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor),886,"97,683",5 out of 5,1997-11-01,Evidence at transcript level
Q8IZF5,AGRF3_HUMAN,Adhesion G-protein coupled receptor F3 (G-protein coupled receptor 113) (G-protein coupled receptor PGR23),1079,"116,341",4 out of 5,2005-02-15,Evidence at transcript level
O95490,AGRL2_HUMAN,Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1),1459,"163,349",5 out of 5,2004-04-26,Evidence at protein level
O00253,AGRP_HUMAN,Agouti-related protein,132,"14,440",5 out of 5,1997-11-01,Evidence at protein level
Q96IF1,AJUBA_HUMAN,LIM domain-containing protein ajuba,538,"56,934",5 out of 5,2007-12-04,Evidence at protein level
O43572,AKA10_HUMAN,"A-kinase anchor protein 10, mitochondrial (AKAP-10) (Dual specificity A kinase-anchoring protein 2) (D-AKAP-2) (Protein kinase A-anchoring protein 10) (PRKA10)",662,"73,818",5 out of 5,2001-02-21,Evidence at protein level
Q9Y2D5,AKAP2_HUMAN,A-kinase anchor protein 2 (AKAP-2) (AKAP-KL) (Protein kinase A-anchoring protein 2) (PRKA2),859,"94,661",4 out of 5,2001-02-21,Evidence at protein level
Q7Z591,AKNA_HUMAN,AT-hook-containing transcription factor,1439,"155,139",5 out of 5,2007-05-29,Evidence at protein level
Q8N8R7,AL14E_HUMAN,ARL14 effector protein (ARF7 effector protein),260,"29,338",5 out of 5,2006-10-03,Evidence at protein level
P30038,AL4A1_HUMAN,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)",563,"61,719",5 out of 5,1993-04-01,Evidence at protein level
Q9H2A2,AL8A1_HUMAN,Aldehyde dehydrogenase family 8 member A1 (EC 1.2.1.-) (Aldehyde dehydrogenase 12),487,"53,401",5 out of 5,2008-01-15,Evidence at protein level
P15121,ALDR_HUMAN,Aldose reductase (AR) (EC 1.1.1.21) (Aldehyde reductase) (Aldo-keto reductase family 1 member B1),316,"35,853",5 out of 5,1990-04-01,Evidence at protein level
Q96QP1,ALPK1_HUMAN,Alpha-protein kinase 1 (EC 2.7.11.-) (Chromosome 4 kinase) (Lymphocyte alpha-protein kinase),1244,"138,861",5 out of 5,2006-11-28,Evidence at transcript level
O95076,ALX3_HUMAN,Homeobox protein aristaless-like 3 (Proline-rich transcription factor ALX3),343,"36,935",4 out of 5,2001-04-27,Evidence at protein level
Q9NP70,AMBN_HUMAN,Ameloblastin,447,"48,283",5 out of 5,2002-10-10,Evidence at protein level
P02760,AMBP_HUMAN,Protein AMBP [Cleaved into: Alpha-1-microglobulin (Protein HC) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin],352,"38,999",5 out of 5,1986-07-21,Evidence at protein level
Q99217,AMELX_HUMAN,"Amelogenin, X isoform",191,"21,603",5 out of 5,1995-11-01,Evidence at protein level
Q5JTC6,AMER1_HUMAN,APC membrane recruitment protein 1 (Amer1) (Protein FAM123B) (Wilms tumor gene on the X chromosome protein),1135,"124,029",5 out of 5,2007-04-03,Evidence at protein level
Q86WK6,AMGO1_HUMAN,Amphoterin-induced protein 1 (AMIGO-1) (Alivin-2),493,"55,239",5 out of 5,2005-06-21,Evidence at protein level
Q16671,AMHR2_HUMAN,Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII),573,"62,750",5 out of 5,2000-12-01,Evidence at protein level
Q9Y4X0,AMMR1_HUMAN,AMME syndrome candidate gene 1 protein,333,"35,463",4 out of 5,2003-10-10,Evidence at protein level
P28838,AMPL_HUMAN,Cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase),519,"56,166",5 out of 5,1992-12-01,Evidence at protein level
Q8N6S4,AN13C_HUMAN,Ankyrin repeat domain-containing protein 13C,541,"60,818",5 out of 5,2006-06-27,Evidence at transcript level
P39687,AN32A_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI),249,"28,585",5 out of 5,1995-02-01,Evidence at protein level
P40394,ADH7_HUMAN,Alcohol dehydrogenase class 4 mu/sigma chain (EC 1.1.1.1) (Alcohol dehydrogenase class IV mu/sigma chain) (Gastric alcohol dehydrogenase) (Retinol dehydrogenase),386,"41,481",5 out of 5,1995-02-01,Evidence at protein level
Q9BRR6,ADPGK_HUMAN,ADP-dependent glucokinase (ADP-GK) (ADPGK) (EC 2.7.1.147) (RbBP-35),497,"54,089",5 out of 5,2005-04-26,Evidence at protein level
Q9Y6U3,ADSV_HUMAN,Adseverin (Scinderin),715,"80,489",5 out of 5,2001-06-20,Evidence at protein level
P12236,ADT3_HUMAN,"ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (ADP,ATP carrier protein, isoform T2) (ANT 2) (Adenine nucleotide translocator 3) (ANT 3) (Solute carrier family 25 member 6) [Cleaved into: ADP/ATP translocase 3, N-terminally processed]",298,"32,866",5 out of 5,1989-10-01,Evidence at protein level
Q99490,AGAP2_HUMAN,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 (AGAP-2) (Centaurin-gamma-1) (Cnt-g1) (GTP-binding and GTPase-activating protein 2) (GGAP2) (Phosphatidylinositol 3-kinase enhancer) (PIKE)",1192,"124,674",5 out of 5,1999-07-15,Evidence at protein level
O95081,AGFG2_HUMAN,Arf-GAP domain and FG repeat-containing protein 2 (HIV-1 Rev-binding protein-like protein) (Rev/Rex activation domain-binding protein related) (RAB-R),481,"48,963",3 out of 5,2004-06-21,Evidence at protein level
Q9UL18,AGO1_HUMAN,Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99),857,"97,214",5 out of 5,2000-12-01,Evidence at protein level
Q8IZF2,AGRF5_HUMAN,Adhesion G protein-coupled receptor F5 (G-protein coupled receptor 116),1346,"149,457",5 out of 5,2004-07-19,Evidence at protein level
Q86Y34,AGRG3_HUMAN,Adhesion G protein-coupled receptor G3 (G-protein coupled receptor 97) (G-protein coupled receptor PGR26),549,"60,861",5 out of 5,2004-07-19,Evidence at protein level
Q86SQ4,AGRG6_HUMAN,Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor) [Cleaved into: ADGRG6 N-terminal fragment (ADGRG6-NTF); ADGRG6 C-terminal fragment (ADGRG6-CTF)],1221,"136,695",5 out of 5,2004-07-19,Evidence at protein level
Q9BYV1,AGT2_HUMAN,"Alanine--glyoxylate aminotransferase 2, mitochondrial (AGT 2) (EC 2.6.1.44) ((R)-3-amino-2-methylpropionate--pyruvate transaminase) (EC 2.6.1.40) (Beta-ALAAT II) (Beta-alanine-pyruvate aminotransferase) (D-AIBAT)",514,"57,156",5 out of 5,2001-12-05,Evidence at protein level
Q9NZD4,AHSP_HUMAN,Alpha-hemoglobin-stabilizing protein (Erythroid differentiation-related factor) (Erythroid-associated factor),102,"11,840",4 out of 5,2002-10-10,Evidence at protein level
Q96BJ3,AIDA_HUMAN,"Axin interactor, dorsalization-associated protein (Axin interaction partner and dorsalization antagonist)",306,"35,023",4 out of 5,2007-10-02,Evidence at protein level
Q9BRQ8,AIFM2_HUMAN,Apoptosis-inducing factor 2 (EC 1.-.-.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (Apoptosis-inducing factor-like mitochondrion-associated inducer of death) (p53-responsive gene 3 protein),373,"40,527",5 out of 5,2006-05-30,Evidence at protein level
P30837,AL1B1_HUMAN,"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)",517,"57,206",5 out of 5,1993-07-01,Evidence at protein level
Q53TS8,AL2SA_HUMAN,Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 11 protein,623,"71,159",4 out of 5,2006-01-10,Evidence at protein level
P51648,AL3A2_HUMAN,Fatty aldehyde dehydrogenase (EC 1.2.1.3) (Aldehyde dehydrogenase 10) (Aldehyde dehydrogenase family 3 member A2) (Microsomal aldehyde dehydrogenase),485,"54,848",5 out of 5,1996-10-01,Evidence at protein level
P24298,ALAT1_HUMAN,Alanine aminotransferase 1 (ALT1) (EC 2.6.1.2) (Glutamate pyruvate transaminase 1) (GPT 1) (Glutamic--alanine transaminase 1) (Glutamic--pyruvic transaminase 1),496,"54,637",5 out of 5,1992-03-01,Evidence at protein level
Q9BT22,ALG1_HUMAN,"Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1 homolog) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase) (Mannosyltransferase-1) (MT-1) (hMat-1)",464,"52,518",5 out of 5,2005-08-30,Evidence at protein level
Q96Q83,ALKB3_HUMAN,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (EC 1.14.11.54) (Alkylated DNA repair protein alkB homolog 3) (hABH3) (DEPC-1) (Prostate cancer antigen 1),286,"33,375",5 out of 5,2006-05-30,Evidence at protein level
Q9UM73,ALK_HUMAN,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),1620,"176,442",5 out of 5,2002-03-27,Evidence at protein level
Q9UKV5,AMFR_HUMAN,E3 ubiquitin-protein ligase AMFR (EC 2.3.2.27) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (RING-type E3 ubiquitin transferase AMFR) (gp78),643,"72,996",5 out of 5,2003-09-19,Evidence at protein level
Q86SJ2,AMGO2_HUMAN,Amphoterin-induced protein 2 (AMIGO-2) (Alivin-1) (Differentially expressed in gastric adenocarcinomas) (DEGA),522,"57,934",5 out of 5,2005-06-21,Evidence at protein level
Q86WK7,AMGO3_HUMAN,Amphoterin-induced protein 3 (AMIGO-3) (Alivin-3),504,"55,250",4 out of 5,2005-06-21,Evidence at transcript level
Q6ZTN6,AN13D_HUMAN,Ankyrin repeat domain-containing protein 13D,518,"58,476",3 out of 5,2006-06-27,Evidence at protein level
Q9BXX2,AN30B_HUMAN,Ankyrin repeat domain-containing protein 30B (Serologically defined breast cancer antigen NY-BR-1.1),1392,"158,049",2 out of 5,2008-04-08,Evidence at transcript level
Q69YU3,AN34A_HUMAN,Ankyrin repeat domain-containing protein 34A,496,"52,636",2 out of 5,2008-02-26,Evidence at transcript level
P10275,ANDR_HUMAN,Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4),920,"99,188",5 out of 5,1989-07-01,Evidence at protein level
Q86XS5,ANGL5_HUMAN,Angiopoietin-related protein 5 (Angiopoietin-like protein 5),388,"44,144",2 out of 5,2005-05-10,Evidence at transcript level
Q6P2P2,ANM9_HUMAN,Putative protein arginine N-methyltransferase 9 (Putative protein arginine N-methyltransferase 10) (EC 2.1.1.-),845,"94,501",3 out of 5,2008-03-18,Evidence at transcript level
P35611,ADDA_HUMAN,Alpha-adducin (Erythrocyte adducin subunit alpha),737,"80,955",5 out of 5,1994-06-01,Evidence at protein level
P35612,ADDB_HUMAN,Beta-adducin (Erythrocyte adducin subunit beta),726,"80,854",5 out of 5,1994-06-01,Evidence at protein level
Q96P47,AGAP3_HUMAN,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 (AGAP-3) (CRAM-associated GTPase) (CRAG) (Centaurin-gamma-3) (Cnt-g3) (MR1-interacting protein) (MRIP-1)",875,"95,044",5 out of 5,2003-01-27,Evidence at protein level
Q9HCK5,AGO4_HUMAN,Protein argonaute-4 (Argonaute4) (hAgo4) (Argonaute RISC catalytic component 4) (Eukaryotic translation initiation factor 2C 4) (eIF-2C 4) (eIF2C 4),861,"97,097",5 out of 5,2003-11-14,Evidence at protein level
Q9UHX3,AGRE2_HUMAN,Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312),823,"90,472",5 out of 5,2004-03-01,Evidence at protein level
Q8IZF7,AGRF2_HUMAN,Adhesion G-protein coupled receptor F2 (G-protein coupled receptor 111) (G-protein coupled receptor PGR20),708,"78,569",4 out of 5,2005-02-15,Evidence at transcript level
Q8IZF6,AGRG4_HUMAN,Adhesion G-protein coupled receptor G4 (G-protein coupled receptor 112),3080,"333,368",5 out of 5,2004-08-31,Evidence at transcript level
O00468,AGRIN_HUMAN,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)],2067,"217,232",5 out of 5,2004-10-25,Evidence at protein level
Q5JQC9,AKAP4_HUMAN,A-kinase anchor protein 4 (AKAP-4) (A-kinase anchor protein 82 kDa) (AKAP 82) (hAKAP82) (Major sperm fibrous sheath protein) (HI) (Protein kinase A-anchoring protein 4) (PRKA4),854,"94,477",5 out of 5,2006-09-05,Evidence at protein level
Q5T2L2,AKCL1_HUMAN,Putative aldo-keto reductase family 1 member C8 (Aldo-keto reductase family 1 member C-like protein 1) (EC 1.1.1.-),129,"14,588",3 out of 5,2007-05-15,Uncertain
Q96Q35,AL2SB_HUMAN,Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 12 protein,445,"52,439",3 out of 5,2002-10-19,Evidence at protein level
P20292,AL5AP_HUMAN,Arachidonate 5-lipoxygenase-activating protein (FLAP) (MK-886-binding protein),161,"18,157",5 out of 5,1991-02-01,Evidence at protein level
P49419,AL7A1_HUMAN,Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase),539,"58,487",5 out of 5,1996-02-01,Evidence at protein level
Q9BT30,ALKB7_HUMAN,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7) (Spermatogenesis cell proliferation-related protein) (Spermatogenesis-associated protein 11)",221,"24,516",5 out of 5,2006-05-30,Evidence at protein level
Q8N6M6,AMPO_HUMAN,Aminopeptidase O (AP-O) (EC 3.4.11.-),819,"93,572",5 out of 5,2005-03-15,Evidence at protein level
A6QL64,AN36A_HUMAN,Ankyrin repeat domain-containing protein 36A,1941,"217,465",3 out of 5,2008-05-20,Evidence at transcript level
Q6UXH0,ANGL8_HUMAN,Angiopoietin-like protein 8 (Betatrophin) (Lipasin) (Refeeding-induced fat and liver protein),198,"22,105",5 out of 5,2008-02-26,Evidence at protein level
Q9NU02,ANKE1_HUMAN,Ankyrin repeat and EF-hand domain-containing protein 1 (Ankyrin repeat domain-containing protein 5),776,"86,664",2 out of 5,2002-01-23,Evidence at transcript level
Q8NAG6,ANKL1_HUMAN,Ankyrin repeat and LEM domain-containing protein 1 (EC 3.1.-.-) (Ankyrin repeat domain-containing protein 41) (LEM-domain containing protein 3),615,"66,890",5 out of 5,2006-06-27,Evidence at protein level
Q92527,ANKR7_HUMAN,Ankyrin repeat domain-containing protein 7 (Testis-specific protein TSA806),254,"29,029",2 out of 5,2002-08-30,Evidence at transcript level
Q75V66,ANO5_HUMAN,Anoctamin-5 (Gnathodiaphyseal dysplasia 1 protein) (Transmembrane protein 16E),913,"107,188",5 out of 5,2005-09-13,Evidence at protein level
Q6IWH7,ANO7_HUMAN,Anoctamin-7 (Dresden transmembrane protein of the prostate) (D-TMPP) (IPCA-5) (New gene expressed in prostate) (Prostate cancer-associated protein 5) (Transmembrane protein 16G),933,"105,532",5 out of 5,2007-05-29,Evidence at protein level
A6NC57,ANR62_HUMAN,Ankyrin repeat domain-containing protein 62,917,"106,446",2 out of 5,2008-04-08,Evidence at transcript level
A6NF34,ANTRL_HUMAN,Anthrax toxin receptor-like,631,"70,629",3 out of 5,2008-04-29,Inferred from homology
Q06278,AOXA_HUMAN,Aldehyde oxidase (EC 1.2.3.1) (Aldehyde oxidase 1) (Azaheterocycle hydroxylase) (EC 1.17.3.-),1338,"147,918",5 out of 5,1994-06-01,Evidence at protein level
P56377,AP1S2_HUMAN,AP-1 complex subunit sigma-2 (Adaptor protein complex AP-1 subunit sigma-1B) (Adaptor-related protein complex 1 subunit sigma-1B) (Clathrin assembly protein complex 1 sigma-1B small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1B subunit) (Sigma 1B subunit of AP-1 clathrin) (Sigma-adaptin 1B) (Sigma1B-adaptin),157,"18,615",5 out of 5,1998-07-15,Evidence at protein level
P63010,AP2B1_HUMAN,AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit),937,"104,553",5 out of 5,2004-08-31,Evidence at protein level
Q96CW1,AP2M1_HUMAN,AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein),435,"49,655",5 out of 5,2004-08-16,Evidence at protein level
O00203,AP3B1_HUMAN,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),1094,"121,320",5 out of 5,2001-09-26,Evidence at protein level
